iter	Passed	Remaining
664	10676	5378
665	10692	5362
666	10709	5346
667	10725	5330
668	10741	5314
669	10758	5298
670	10773	5282
671	10789	5266
672	10805	5250
673	10821	5234
674	10837	5218
675	10855	5203
676	10872	5187
677	10888	5171
678	10904	5155
679	10928	5142
680	10944	5126
681	10960	5110
682	10976	5094
683	10992	5078
684	11008	5062
685	11023	5045
686	11039	5029
687	11055	5013
688	11071	4997
689	11088	4981
690	11104	4965
691	11120	4949
692	11135	4933
693	11152	4917
694	11168	4901
695	11183	4884
696	11198	4868
697	11214	4852
698	11229	4835
699	11245	4819
700	11262	4803
701	11279	4788
702	11296	4772
703	11312	4756
704	11328	4740
705	11345	4724
706	11362	4708
707	11381	4694
708	11399	4678
709	11415	4662
710	11431	4646
711	11447	4630
712	11464	4614
713	11480	4598
714	11495	4582
715	11511	4565
716	11527	4549
717	11543	4533
718	11567	4520
719	11589	4507
720	11606	4491
721	11622	4475
722	11637	4458
723	11651	4441
724	11668	4425
725	11685	4410
726	11701	4394
727	11717	4377
728	11733	4361
729	11749	4345
730	11766	4329
731	11781	4313
732	11798	4297
733	11813	4281
734	11829	4264
735	11844	4248
736	11860	4232
737	11877	4216
738	11894	4200
739	11910	4184
740	11935	4171
741	11951	4155
742	11968	4139
743	11983	4123
744	11998	4107
745	12014	4090
746	12029	4074
747	12044	4057
748	12060	4041
749	12077	4025
750	12095	4010
751	12110	3993
752	12126	3977
753	12141	3961
754	12156	3944
755	12172	3928
756	12189	3912
757	12205	3896
758	12221	3880
759	12236	3864
760	12263	3851
761	12279	3835
762	12296	3819
763	12312	3803
764	12328	3787
765	12345	3771
766	12363	3755
767	12382	3740
768	12398	3724
769	12414	3708
770	12429	3691
771	12445	3675
772	12461	3659
773	12478	3643
774	12495	3627
775	12510	3611
776	12526	3595
777	12542	3579
778	12558	3562
779	12574	3546
780	12590	3530
781	12605	3514
782	12621	3497
783	12637	3481
784	12653	3465
785	12669	3449
786	12686	3433
787	12702	3417
788	12718	3401
789	12734	3385
790	12750	3369
791	12766	3352
792	12783	3336
793	12799	3320
794	12815	3304
795	12831	3288
796	12847	3272
797	12863	3256
798	12879	3240
799	12895	3223
800	12911	3207
801	12935	3193
802	12958	3179
803	12976	3163
804	12992	3147
805	13008	3130
806	13023	3114
807	13038	3098
808	13055	3082
809	13071	3066
810	13089	3050
811	13105	3034
812	13121	3018
813	13137	3001
814	13153	2985
815	13169	2969
816	13185	2953
817	13200	2937
818	13216	2920
819	13231	2904
820	13248	2888
821	13263	2872
822	13280	2856
823	13297	2840
824	13313	2824
825	13328	2807
826	13345	2791
827	13365	2776
828	13382	2760
829	13400	2744
830	13415	2728
831	13431	2712
832	13446	2695
833	13461	2679
834	13477	2663
835	13495	2647
836	13511	2631
837	13526	2614
838	13542	2598
839	13558	2582
840	13573	2566
841	13589	2549
842	13605	2533
843	13621	2517
844	13636	2501
845	13651	2484
846	13666	2468
847	13682	2452
848	13707	2438
849	13731	2423
850	13748	2407
851	13763	2390
852	13778	2374
853	13793	2358
854	13809	2341
855	13825	2325
856	13841	2309
857	13857	2293
858	13872	2277
859	13887	2260
860	13904	2244
861	13919	2228
862	13942	2213
863	13959	2197
864	13974	2180
865	13990	2164
866	14005	2148
867	14020	2132
868	14035	2115
869	14050	2099
870	14064	2083
871	14080	2066
872	14097	2050
873	14112	2034
874	14128	2018
875	14143	2002
876	14158	1985
877	14173	1969
878	14188	1953
879	14202	1936
880	14217	1920
881	14231	1904
882	14246	1887
883	14261	1871
884	14276	1855
885	14293	1839
886	14309	1822
887	14324	1806
888	14339	1790
889	14356	1774
890	14374	1758
891	14390	1742
892	14405	1726
893	14420	1709
894	14435	1693
895	14451	1677
896	14466	1661
897	14482	1644
898	14498	1628
899	14514	1612
900	14529	1596
901	14544	1580
902	14559	1563
903	14574	1547
904	14589	1531
905	14604	1515
906	14620	1499
907	14635	1482
908	14649	1466
909	14664	1450
910	14679	1434
911	14696	1418
912	14711	1401
913	14726	1385
914	14741	1369
915	14757	1353
916	14771	1336
917	14785	1320
918	14800	1304
919	14829	1289
920	14850	1273
921	14868	1257
922	14885	1241
923	14901	1225
924	14917	1209
925	14932	1193
926	14987	1180
927	15002	1163
928	15019	1147
929	15035	1131
930	15050	1115
931	15064	1099
932	15079	1082
933	15095	1066
934	15110	1050
935	15124	1034
936	15140	1017
937	15155	1001
938	15170	985
939	15185	969
940	15200	953
941	15215	936
942	15231	920
943	15247	904
944	15261	888
945	15276	871
946	15292	855
947	15309	839
948	15325	823
949	15344	807
950	15360	791
951	15375	775
952	15392	759
953	15409	743
954	15424	726
955	15443	710
956	15458	694
957	15474	678
958	15489	662
959	15507	646
960	15523	629
961	15537	613
962	15553	597
963	15568	581
964	15583	565
965	15598	549
966	15612	532
967	15628	516
968	15642	500
969	15657	484
970	15672	468
971	15687	451
972	15705	435
973	15725	419
974	15741	403
975	15756	387
976	15772	371
977	15803	355
978	15817	339
979	15832	323
980	15847	306
981	15862	290
982	15878	274
983	15894	258
984	15910	242
985	15926	226
986	15942	209
987	15956	193
988	15972	177
989	15999	161
990	16014	145
991	16029	129
992	16044	113
993	16059	96
994	16074	80
995	16090	64
996	16106	48
997	16122	32
998	16137	16
999	16152	0
