iter	Passed	Remaining
566	9780	7469
567	9798	7452
568	9815	7435
569	9834	7419
570	9851	7401
571	9869	7384
572	9887	7368
573	9905	7351
574	9924	7335
575	9942	7318
576	9960	7302
577	9978	7285
578	9997	7269
579	10015	7252
580	10033	7236
581	10051	7218
582	10068	7201
583	10084	7183
584	10104	7168
585	10125	7153
586	10141	7135
587	10158	7117
588	10176	7101
589	10192	7083
590	10209	7065
591	10226	7047
592	10243	7030
593	10267	7018
594	10287	7002
595	10304	6984
596	10321	6967
597	10337	6949
598	10354	6931
599	10370	6913
600	10387	6895
601	10402	6877
602	10419	6859
603	10436	6842
604	10456	6826
605	10473	6809
606	10488	6790
607	10504	6772
608	10521	6755
609	10537	6737
610	10557	6721
611	10573	6703
612	10600	6692
613	10628	6682
614	10653	6669
615	10671	6652
616	10705	6645
617	10725	6629
618	10742	6612
619	10759	6594
620	10775	6576
621	10791	6558
622	10810	6541
623	10829	6525
624	10847	6508
625	10867	6492
626	10886	6476
627	10903	6458
628	10922	6442
629	10939	6424
630	10956	6407
631	10973	6389
632	10992	6372
633	11010	6356
634	11026	6337
635	11042	6319
636	11059	6302
637	11076	6284
638	11095	6268
639	11112	6250
640	11133	6235
641	11150	6218
642	11168	6200
643	11184	6182
644	11201	6165
645	11217	6147
646	11234	6129
647	11250	6111
648	11268	6094
649	11285	6076
650	11303	6059
651	11319	6041
652	11336	6024
653	11353	6006
654	11370	5988
655	11385	5970
656	11402	5953
657	11418	5934
658	11434	5916
659	11451	5899
660	11467	5881
661	11485	5864
662	11501	5846
663	11518	5828
664	11534	5810
665	11551	5792
666	11568	5775
667	11585	5758
668	11605	5742
669	11622	5724
670	11637	5706
671	11654	5688
672	11670	5670
673	11688	5653
674	11723	5644
675	11743	5628
676	11759	5610
677	11776	5592
678	11793	5575
679	11810	5557
680	11826	5540
681	11843	5522
682	11859	5504
683	11877	5487
684	11895	5470
685	11913	5453
686	11930	5435
687	11946	5417
688	11962	5399
689	11977	5381
690	11994	5363
691	12010	5345
692	12026	5327
693	12042	5309
694	12059	5292
695	12075	5274
696	12093	5257
697	12110	5239
698	12129	5222
699	12146	5205
700	12164	5188
701	12180	5170
702	12196	5152
703	12213	5135
704	12230	5117
705	12246	5099
706	12262	5081
707	12278	5063
708	12296	5047
709	12314	5029
710	12332	5012
711	12349	4995
712	12366	4977
713	12382	4959
714	12400	4942
715	12418	4925
716	12434	4907
717	12450	4889
718	12466	4872
719	12486	4855
720	12509	4840
721	12529	4824
722	12545	4806
723	12563	4789
724	12583	4773
725	12600	4755
726	12617	4737
727	12635	4720
728	12652	4703
729	12669	4685
730	12687	4668
731	12705	4651
732	12747	4643
733	12769	4627
734	12787	4610
735	12803	4592
736	12820	4575
737	12835	4556
738	12853	4539
739	12870	4521
740	12888	4504
741	12906	4487
742	12922	4469
743	12939	4452
744	12955	4434
745	12972	4417
746	12989	4399
747	13014	4384
748	13031	4367
749	13047	4349
750	13066	4332
751	13084	4315
752	13105	4298
753	13126	4282
754	13144	4265
755	13165	4249
756	13187	4233
757	13207	4216
758	13224	4199
759	13241	4181
760	13257	4163
761	13275	4146
762	13293	4129
763	13309	4111
764	13326	4093
765	13343	4076
766	13360	4058
767	13376	4040
768	13393	4023
769	13409	4005
770	13434	3990
771	13449	3972
772	13465	3954
773	13481	3936
774	13499	3919
775	13516	3901
776	13535	3884
777	13557	3868
778	13574	3851
779	13590	3833
780	13607	3815
781	13622	3797
782	13638	3779
783	13655	3762
784	13671	3744
785	13689	3727
786	13707	3709
787	13722	3691
788	13758	3679
789	13775	3661
790	13792	3644
791	13809	3626
792	13824	3608
793	13841	3591
794	13858	3573
795	13875	3555
796	13891	3538
797	13909	3520
798	13924	3503
799	13940	3485
800	13956	3467
801	13975	3450
802	13991	3432
803	14009	3415
804	14024	3397
805	14040	3379
806	14057	3361
807	14074	3344
808	14091	3326
809	14109	3309
810	14128	3292
811	14144	3274
812	14162	3257
813	14180	3240
814	14197	3222
815	14214	3205
816	14230	3187
817	14246	3169
818	14264	3152
819	14283	3135
820	14300	3117
821	14318	3100
822	14334	3082
823	14351	3065
824	14367	3047
825	14384	3030
826	14400	3012
827	14419	2995
828	14435	2977
829	14452	2960
830	14470	2942
831	14488	2925
832	14506	2908
833	14526	2891
834	14545	2874
835	14563	2856
836	14581	2839
837	14598	2822
838	14614	2804
839	14630	2786
840	14647	2769
841	14664	2751
842	14681	2734
843	14697	2716
844	14714	2699
845	14733	2681
846	14770	2668
847	14789	2650
848	14807	2633
849	14823	2615
850	14839	2598
851	14856	2580
852	14874	2563
853	14892	2546
854	14909	2528
855	14927	2511
856	14948	2494
857	14969	2477
858	14986	2459
859	15004	2442
860	15021	2425
861	15039	2407
862	15055	2390
863	15071	2372
864	15088	2354
865	15106	2337
866	15123	2319
867	15140	2302
868	15158	2285
869	15175	2267
870	15191	2249
871	15209	2232
872	15227	2215
873	15244	2197
874	15260	2180
875	15276	2162
876	15294	2145
877	15313	2127
878	15333	2110
879	15351	2093
880	15368	2075
881	15385	2058
882	15402	2040
883	15418	2023
884	15436	2005
885	15452	1988
886	15469	1970
887	15486	1953
888	15504	1935
889	15524	1918
890	15543	1901
891	15561	1884
892	15577	1866
893	15593	1848
894	15609	1831
895	15627	1813
896	15644	1796
897	15660	1778
898	15676	1761
899	15693	1743
900	15710	1726
901	15727	1708
902	15745	1691
903	15811	1679
904	15833	1662
905	15850	1644
906	15866	1626
907	15883	1609
908	15901	1591
909	15918	1574
910	15934	1556
911	15952	1539
912	15969	1521
913	15986	1504
914	16006	1486
915	16023	1469
916	16040	1451
917	16057	1434
918	16074	1416
919	16090	1399
920	16107	1381
921	16124	1364
922	16141	1346
923	16160	1329
924	16178	1311
925	16195	1294
926	16218	1277
927	16235	1259
928	16253	1242
929	16270	1224
930	16287	1207
931	16305	1189
932	16321	1172
933	16337	1154
934	16354	1136
935	16370	1119
936	16387	1101
937	16406	1084
938	16425	1067
939	16443	1049
940	16462	1032
941	16482	1014
942	16503	997
943	16525	980
944	16544	962
945	16562	945
946	16580	927
947	16600	910
948	16619	893
949	16638	875
950	16657	858
951	16674	840
952	16692	823
953	16713	805
954	16731	788
955	16748	770
956	16765	753
957	16803	736
958	16822	719
959	16840	701
960	16858	684
961	16875	666
962	16892	649
963	16909	631
964	16925	613
965	16943	596
966	16959	578
967	16974	561
968	16991	543
969	17010	526
970	17036	508
971	17056	491
972	17075	473
973	17095	456
974	17114	438
975	17136	421
976	17156	403
977	17175	386
978	17197	368
979	17217	351
980	17240	333
981	17261	316
982	17280	298
983	17300	281
984	17321	263
985	17340	246
986	17358	228
987	17387	211
988	17404	193
989	17421	175
990	17440	158
991	17458	140
992	17475	123
993	17496	105
994	17514	88
995	17536	70
996	17558	52
997	17578	35
998	17596	17
999	17613	0
